SalÃ³n,Grupo,Lugar,Semana,Fecha,Alimento,Precio,Unidades,Observaciones
1,6,Perseverancia,1,feb-07,cebolla,1000,lb,El vendedor nos informo que esta muy barato
1,6,Perseverancia,1,feb-07,Coliflor,2600,lb,
1,6,Perseverancia,1,feb-07,Papa sabanera,500,lb,
1,6,Perseverancia,1,feb-07,Tomate larga vida,1500,lb,
1,6,Perseverancia,1,feb-07,Zanahoria,2000,lb,
1,6,Perseverancia,1,feb-07,Fresa,5000,lb,
1,6,Perseverancia,1,feb-07,Granadilla,2000,lb,
1,6,Perseverancia,1,feb-07,Lulo,2500,lb,
1,6,Perseverancia,1,feb-07,Manzana verde,1600,lb,
1,6,Perseverancia,1,feb-07,Maracuya,2500,lb,
1,6,Exito,2,feb-11,cebolla,975,lb,
1,6,Exito,2,feb-11,Coliflor,0,lb,No habia
1,6,Exito,2,feb-11,Papa sabanera,0,lb,No habia
1,6,Exito,2,feb-11,Tomate larga vida,0,lb,No habia
1,6,Exito,2,feb-11,Zanahoria,780,lb,Se encuentra en promocion
1,6,Exito,2,feb-11,Fresa,6430,lb,
1,6,Exito,2,feb-11,Granadilla,2750,lb,
1,6,Exito,2,feb-11,Lulo,2585,lb,
1,6,Exito,2,feb-11,Manzana verde,5395,lb,Se encuentra en promocion
1,6,Exito,2,feb-11,Maracuya,1768,lb,
1,6,Perseverancia,3,feb-20,cebolla,900,lb,Vendedor informo que esta en cosecha
1,6,Perseverancia,3,feb-20,Coliflor,2600,lb,
1,6,Perseverancia,3,feb-20,Papa sabanera,400,lb,
1,6,Perseverancia,3,feb-20,Tomate larga vida,1400,lb,
1,6,Perseverancia,3,feb-20,Zanahoria,2100,lb,
1,6,Perseverancia,3,feb-20,Fresa,5000,lb,El vendedor informo que no ha cambiado el precio no esta en cosecha
1,6,Perseverancia,3,feb-20,Granadilla,2100,lb,
1,6,Perseverancia,3,feb-20,Lulo,2550,lb,
1,6,Perseverancia,3,feb-20,Manzana verde,1600,lb,
1,6,Perseverancia,3,feb-20,Maracuya,2500,lb,
1,6,Exito,4,feb-29,cebolla,980,lb,
1,6,Exito,4,feb-29,Coliflor,2500,lb,
1,6,Exito,4,feb-29,Papa sabanera,0,lb,No habia
1,6,Exito,4,feb-29,Tomate larga vida,0,lb,No habia
1,6,Exito,4,feb-29,Zanahoria,580,lb,
1,6,Exito,4,feb-29,Fresa,6420,lb,
1,6,Exito,4,feb-29,Granadilla,2750,lb,
1,6,Exito,4,feb-29,Lulo,2720,lb,
1,6,Exito,4,feb-29,Manzana verde,5000,lb,Se encuentra en promocion
1,6,Exito,4,feb-29,Maracuya,1720,lb,